kode_negara,negara,nama_indikator,kode_indikator,2017,2018,2019,2020
CUB,Cuba,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,5.1,5.2,5.4,5.7
CYP,Cyprus,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,2.2,2.3,2.5,2.7
CZE,Czechia,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,2.6,2.5,2.4,2.4
DEU,Germany,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,3.2,3.2,3.1,3.1
DJI,Djibouti,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,53.3,51.8,50.2,48.7
DMA,Dominica,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,28.7,29.7,30.6,31.4
DNK,Denmark,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,3.4,3.4,3.3,3.3
DOM,Dominican Republic,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,31.2,31.1,30.9,30.4
DZA,Algeria,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,21.3,21.0,20.7,20.4
EAP,East Asia & Pacific (excluding high income),"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,12.4963418670572,12.4379101812444,12.072323650008,12.2144132880224
EAR,Early-demographic dividend,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,31.296660942754,30.2956329291848,29.3622810142626,28.4460343482701
EAS,East Asia & Pacific,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,11.9,11.9,11.5,11.6
ECA,Europe & Central Asia (excluding high income),"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,13.2605083570662,12.9427002190535,12.6964416494544,12.4589272883753
ECS,Europe & Central Asia,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,7.4,7.3,7.1,7.0
ECU,Ecuador,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,12.2,11.9,11.7,11.5
EGY,"Egypt, Arab Rep.","Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,23.4,23.1,22.9,22.6
EMU,Euro area,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,3.13443509867555,3.11865544603041,3.06167433886014,3.04277532549184
ERI,Eritrea,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,30.5,29.6,28.7,27.8
ESP,Spain,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,2.7,2.7,2.6,2.6
EST,Estonia,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,2.2,2.0,1.9,1.8
ETH,Ethiopia,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,44.0,42.3,40.8,39.4
EUU,European Union,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,3.41352152542385,3.35065732237221,3.25658640389602,3.22392355209318
FCS,Fragile and conflict affected situations,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,54.9004734677599,53.0296330160752,52.4796923797649,51.5598647024523
FIN,Finland,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,1.9,1.9,1.9,1.9
FJI,Fiji,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,17.7,19.0,20.3,21.6
FRA,France,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,3.3,3.3,3.3,3.3
FSM,"Micronesia, Fed. Sts.","Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,25.2,24.5,23.7,23.0
GAB,Gabon,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,32.0,31.1,30.1,28.8
GBR,United Kingdom,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,3.8,3.8,3.8,3.9
GEO,Georgia,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,8.5,8.3,8.2,8.0
GHA,Ghana,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,35.4,34.1,32.9,31.7
GIN,Guinea,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,69.0,68.1,67.0,65.7
GMB,"Gambia, The","Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,40.7,39.4,38.2,37.0
GNB,Guinea-Bissau,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,51.7,50.1,48.6,47.2
GNQ,Equatorial Guinea,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,59.1,57.2,55.7,53.9
GRC,Greece,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,3.6,3.6,3.5,3.4
GRD,Grenada,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,16.3,16.6,16.8,17.0
GTM,Guatemala,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,21.6,20.8,20.2,19.5
GUY,Guyana,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,28.8,27.9,27.1,26.3
