kode_negara,negara,nama_indikator,kode_indikator,2017,2018,2019,2020
LIC,Low income,"Population, total",SP.POP.TOTL,514890519.0,529522043.0,544980983.0,560643073.0
LIE,Liechtenstein,"Population, total",SP.POP.TOTL,37962.0,38246.0,38563.0,38901.0
LKA,Sri Lanka,"Population, total",SP.POP.TOTL,21453000.0,21670000.0,21803000.0,21919000.0
LMC,Lower middle income,"Population, total",SP.POP.TOTL,2847931114.0,2888561818.0,2928617292.0,2968398856.0
LMY,Low & middle income,"Population, total",SP.POP.TOTL,6093971714.0,6169658713.0,6243562839.0,6313913801.0
LSO,Lesotho,"Population, total",SP.POP.TOTL,2157110.0,2183603.0,2209405.0,2235727.0
LTE,Late-demographic dividend,"Population, total",SP.POP.TOTL,2285870134.0,2298394042.0,2308878047.0,2316152451.0
LTU,Lithuania,"Population, total",SP.POP.TOTL,2842639.0,2819200.0,2811089.0,2810369.0
LUX,Luxembourg,"Population, total",SP.POP.TOTL,596336.0,607950.0,620001.0,630419.0
LVA,Latvia,"Population, total",SP.POP.TOTL,1942248.0,1927174.0,1913822.0,1900449.0
MAC,"Macao SAR, China","Population, total",SP.POP.TOTL,648400.0,658900.0,672000.0,685400.0
MAF,St. Martin (French part),"Population, total",SP.POP.TOTL,36837.0,36012.0,34267.0,31786.0
MAR,Morocco,"Population, total",SP.POP.TOTL,35446392.0,35839760.0,36210898.0,36584208.0
MCO,Monaco,"Population, total",SP.POP.TOTL,37678.0,38154.0,38109.0,38050.0
MDA,Moldova,"Population, total",SP.POP.TOTL,2755189.0,2707203.0,2664224.0,2635130.0
MDG,Madagascar,"Population, total",SP.POP.TOTL,26788375.0,27494926.0,28219554.0,28953556.0
MDV,Maldives,"Population, total",SP.POP.TOTL,458287.0,473099.0,487731.0,502118.0
MEA,"Middle East, North Africa, Afghanistan & Pakistan","Population, total",SP.POP.TOTL,718887744.0,730362334.0,742714463.0,756405281.0
MEX,Mexico,"Population, total",SP.POP.TOTL,123400057.0,124573711.0,125762982.0,126799054.0
MHL,Marshall Islands,"Population, total",SP.POP.TOTL,46529.0,45285.0,44007.0,42706.0
MIC,Middle income,"Population, total",SP.POP.TOTL,5579081195.0,5640136670.0,5698581856.0,5753270728.0
MKD,North Macedonia,"Population, total",SP.POP.TOTL,1898657.0,1889051.0,1876262.0,1856124.0
MLI,Mali,"Population, total",SP.POP.TOTL,19813011.0,20442030.0,21068405.0,21713836.0
MLT,Malta,"Population, total",SP.POP.TOTL,467106.0,483903.0,503912.0,515490.0
MMR,Myanmar,"Population, total",SP.POP.TOTL,51894938.0,52272247.0,52640713.0,53016522.0
MNA,"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)","Population, total",SP.POP.TOTL,656767614.0,668447432.0,680490997.0,692532027.0
MNE,Montenegro,"Population, total",SP.POP.TOTL,625982.0,626438.0,626753.0,626590.0
MNG,Mongolia,"Population, total",SP.POP.TOTL,3148917.0,3208189.0,3267673.0,3327204.0
MNP,Northern Mariana Islands,"Population, total",SP.POP.TOTL,49959.0,49077.0,48129.0,47528.0
MOZ,Mozambique,"Population, total",SP.POP.TOTL,28166393.0,29018644.0,29884380.0,30783688.0
MRT,Mauritania,"Population, total",SP.POP.TOTL,4210600.0,4337685.0,4467708.0,4600131.0
MUS,Mauritius,"Population, total",SP.POP.TOTL,1264887.0,1265577.0,1265985.0,1266014.0
MWI,Malawi,"Population, total",SP.POP.TOTL,18039715.0,18528081.0,19025752.0,19533888.0
MYS,Malaysia,"Population, total",SP.POP.TOTL,32355644.0,32910967.0,33440596.0,33889558.0
NAC,North America,"Population, total",SP.POP.TOTL,363217262.0,365666028.0,367908829.0,369670740.0
NAM,Namibia,"Population, total",SP.POP.TOTL,2506853.0,2577327.0,2650494.0,2728762.0
NCL,New Caledonia,"Population, total",SP.POP.TOTL,283546.0,283541.0,283606.0,284176.0
NER,Niger,"Population, total",SP.POP.TOTL,21435446.0,22188069.0,22947757.0,23717613.0
NGA,Nigeria,"Population, total",SP.POP.TOTL,200254579.0,204938755.0,209485641.0,213996181.0
NIC,Nicaragua,"Population, total",SP.POP.TOTL,6316231.0,6400080.0,6483657.0,6565267.0
NLD,Netherlands,"Population, total",SP.POP.TOTL,17131296.0,17231624.0,17344874.0,17441500.0
NOR,Norway,"Population, total",SP.POP.TOTL,5276968.0,5311916.0,5347896.0,5379475.0
NPL,Nepal,"Population, total",SP.POP.TOTL,28011258.0,28079689.0,28414064.0,28966574.0
NRU,Nauru,"Population, total",SP.POP.TOTL,11324.0,11477.0,11587.0,11643.0
NZL,New Zealand,"Population, total",SP.POP.TOTL,4813600.0,4900600.0,4970300.0,5072400.0
OED,OECD members,"Population, total",SP.POP.TOTL,1348127258.0,1356470975.0,1364146219.0,1369310195.0
OMN,Oman,"Population, total",SP.POP.TOTL,4537396.0,4597877.0,4591241.0,4522497.0
OSS,Other small states,"Population, total",SP.POP.TOTL,11989367.0,12135267.0,12281907.0,12417333.0
