cause_id,penyebab_kematian
CS00459,Complications and ill-defined descriptions of heart disease
CS00460,Subarachnoid haemorrhage
CS00461,Intracerebral haemorrhage
CS00462,Other nontraumatic intracranial haemorrhage
CS00463,Cerebral infarction
CS00464,"Stroke, not specified as haemorrhage or infarction"
CS00465,Other cerebrovascular diseases
CS00466,Sequelae of cerebrovascular disease
CS00467,Aortic aneurysm and dissection
CS00468,Other aneurysm and dissection
CS00469,Other peripheral vascular diseases
CS00470,Arterial embolism and thrombosis
CS00471,Other disorders of arteries and arterioles
CS00472,Diseases of capillaries
CS00473,Phlebitis and thrombophlebitis
CS00474,Portal vein thrombosis
CS00475,Other venous embolism and thrombosis
CS00476,Varicose veins of lower extremities
CS00477,Haemorrhoids
CS00478,Oesophageal varices
CS00479,Varicose veins of other sites
CS00480,Nonspecific lymphadenitis
CS00481,Other noninfective disorders of lymphatic vessels and lymph nodes
CS00482,Hypotension
CS00483,Other and unspecified disorders of circulatory system
CS00484,Acute nasopharyngitis [common cold]
CS00485,Acute sinusitis
CS00486,Acute pharyngitis
CS00487,Acute laryngitis and tracheitis
CS00488,Acute obstructive laryngitis [croup] and epiglottitis
CS00489,Acute upper respiratory infections of multiple and unspecified sites
CS00490,Influenza due to identified seasonal influenza virus
CS00491,"Influenza, virus not identified"
CS00492,"Viral pneumonia, not elsewhere classified"
CS00493,Pneumonia due to Streptococcus pneumoniae
CS00494,Pneumonia due to Haemophilus influenzae
CS00495,"Bacterial pneumonia, not elsewhere classified"
CS00496,"Pneumonia due to other infectious organisms, not elsewhere classified"
CS00497,"Pneumonia, organism unspecified"
CS00498,Acute bronchitis
CS00499,Acute bronchiolitis
CS00500,Unspecified acute lower respiratory infection
CS00501,Vasomotor and allergic rhinitis
CS00502,Other disorders of nose and nasal sinuses
CS00503,Peritonsillar abscess
CS00504,Chronic laryngitis and laryngotracheitis
CS00505,"Diseases of vocal cords and larynx, not elsewhere classified"
CS00506,Other diseases of upper respiratory tract
CS00507,"Bronchitis, not specified as acute or chronic"
CS00508,Simple and mucopurulent chronic bronchitis
CS00509,Unspecified chronic bronchitis
CS00510,Emphysema
CS00511,Other chronic obstructive pulmonary disease
CS00512,Asthma
CS00513,Status asthmaticus
CS00514,Bronchiectasis
CS00515,Coalworker pneumoconiosis
CS00516,Pneumoconiosis due to asbestos and other mineral fibres
CS00517,Pneumoconiosis due to other inorganic dusts
CS00518,Unspecified pneumoconiosis
CS00519,Pneumoconiosis associated with tuberculosis
CS00520,Airway disease due to specific organic dust
CS00521,Hypersensitivity pneumonitis due to organic dust
CS00522,"Respiratory conditions due to inhalation of chemicals, gases, fumes and vapours"
CS00523,Pneumonitis due to solids and liquids
CS00524,Respiratory conditions due to other external agents
CS00525,Adult respiratory distress syndrome
CS00526,Pulmonary oedema
CS00527,"Pulmonary eosinophilia, not elsewhere classified"
CS00528,Other interstitial pulmonary diseases
CS00529,Abscess of lung and mediastinum
CS00530,Pyothorax
CS00531,"Pleural effusion, not elsewhere classified"
CS00532,Pneumothorax
CS00533,Other pleural conditions
CS00534,"Respiratory failure, not elsewhere classified"
CS00535,Other respiratory disorders
CS00536,Disorders of tooth development and eruption
CS00537,Embedded and impacted teeth
CS00538,Dental caries
CS00539,"Cysts of oral region, not elsewhere classified"
CS00540,Other diseases of jaws
CS00541,Diseases of salivary glands
CS00542,Oesophagitis
CS00543,Gastro-oesophageal reflux disease
CS00544,Other diseases of oesophagus
CS00545,Gastric ulcer
CS00546,Duodenal ulcer
CS00547,"Peptic ulcer, site unspecified"
CS00548,Gastrojejunal ulcer
CS00549,Gastritis and duodenitis
CS00550,Other diseases of stomach and duodenum
CS00551,Acute appendicitis
CS00552,Other appendicitis
CS00553,Unspecified appendicitis
CS00554,Other diseases of appendix
CS00555,Inguinal hernia
CS00556,Umbilical hernia
CS00557,Ventral hernia
CS00558,Diaphragmatic hernia
CS00559,Other abdominal hernia
CS00560,Unspecified abdominal hernia
CS00561,Crohn disease [regional enteritis]
CS00562,Ulcerative colitis
CS00563,Other noninfective gastroenteritis and colitis
CS00564,Vascular disorders of intestine
CS00565,Paralytic ileus and intestinal obstruction without hernia
CS00566,Other functional intestinal disorders
CS00567,Fissure and fistula of anal and rectal regions
CS00568,Abscess of anal and rectal regions
CS00569,Other diseases of anus and rectum
CS00570,Other diseases of intestine
CS00571,Peritonitis
CS00572,Other disorders of peritoneum
CS00573,Alcoholic liver disease
CS00574,Toxic liver disease
CS00575,"Hepatic failure, not elsewhere classified"
CS00576,"Chronic hepatitis, not elsewhere classified"
CS00577,Fibrosis and cirrhosis of liver
CS00578,Other inflammatory liver diseases
CS00579,Other diseases of liver
CS00580,Cholelithiasis
CS00581,Cholecystitis
CS00582,Other diseases of gallbladder
CS00583,Other diseases of biliary tract
CS00584,Acute pancreatitis
CS00585,Other diseases of pancreas
CS00586,Intestinal malabsorption
CS00587,Other diseases of digestive system
CS00588,Cellulitis
CS00589,Pilonidal cyst
CS00590,Atopic dermatitis
CS00591,Exfoliative dermatitis
CS00592,Pruritus
CS00593,Other dermatitis
CS00594,Psoriasis
CS00595,Other follicular disorders
CS00596,Other disorders of pigmentation
CS00597,Decubitus ulcer and pressure area
CS00598,Atrophic disorders of skin
CS00599,Lupus erythematosus
CS00600,"Ulcer of lower limb, not elsewhere classified"
CS00601,Pyogenic arthritis
CS00602,Seropositive rheumatoid arthritis
CS00603,Other rheumatoid arthritis
CS00604,Gout
CS00605,Other arthritis
CS00606,Coxarthrosis [arthrosis of hip]
CS00607,Gonarthrosis [arthrosis of knee]
CS00608,Other arthrosis
CS00609,"Other joint disorders, not elsewhere classified"
CS00610,Polyarteritis nodosa and related conditions
CS00611,Systemic lupus erythematosus
CS00612,Dermatopolymyositis
CS00613,Spinal osteochondrosis
CS00614,Other deforming dorsopathies
CS00615,Ankylosing spondylitis
CS00616,Spondylosis
CS00617,Other disorders of muscle
CS00618,Spontaneous rupture of synovium and tendon
CS00619,Fibroblastic disorders
CS00620,Osteoporosis with pathological fracture
CS00621,Osteoporosis without pathological fracture
CS00622,Disorders of continuity of bone
CS00623,Osteomyelitis
CS00624,Other disorders of bone
CS00625,Acute nephritic syndrome
CS00626,Rapidly progressive nephritic syndrome
CS00627,Recurrent and persistent haematuria
CS00628,Chronic nephritic syndrome
CS00629,Nephrotic syndrome
CS00630,Unspecified nephritic syndrome
CS00631,"Hereditary nephropathy, not elsewhere classified"
CS00632,Acute tubulo-interstitial nephritis
CS00633,Chronic tubulo-interstitial nephritis
CS00634,"Tubulo-interstitial nephritis, not specified as acute or chronic"
CS00635,Obstructive and reflux uropathy
CS00636,Drug- and heavy-metal-induced tubulo-interstitial and tubular conditions
CS00637,Other renal tubulo-interstitial diseases
CS00638,Acute renal failure
CS00639,Chronic kidney disease
CS00640,Unspecified kidney failure
CS00641,Calculus of kidney and ureter
CS00642,Calculus of lower urinary tract
CS00643,Unspecified renal colic
CS00644,Disorders resulting from impaired renal tubular function
CS00645,"Other disorders of kidney and ureter, not elsewhere classified"
CS00646,Cystitis
CS00647,Other disorders of bladder
CS00648,Urethritis and urethral syndrome
CS00649,Urethral stricture
CS00650,Other disorders of urethra
CS00651,Other disorders of urinary system
CS00652,Hyperplasia of prostate
CS00653,Inflammatory diseases of prostate
CS00654,Other disorders of prostate
CS00655,Torsion of testis
CS00656,Orchitis and epididymitis
